Review,Date Posted
"Do depend no. 32 service Omagh Depot Dublin airport, especially later night On 23 May I planned catch no. 32 service 20.45 Omagh Depot Dublin Airport catch early morning flight. Was Depot 20.30 never arrived. At 9.30 arrived going opposite direction, Dublin going Letterkenny. I spoke driver confirmed met , I waiting on, near Ballygawley. I knew driver decided call Omagh Depot I would airport. Was distressed get taxi Dungannon get Translink service leaving 2.25am airport. Be warned, going Omagh Dublin airport cannot depend driver actually calling Omagh Depot. Very unsatisfactory service.",2023-05-23
"Awful Awful, drivers rude busses always late. I got kicked twice I guy angry couldnt eat moldy ass banana. And another time leap card machine broken I trying get card wallet guy yelled standing broken. MAYBE tell then. Awful time, mean drivers horrible experience overall. Do better.",2022-08-29
"Poor service This beautiful country, I cant get cant organise public transport locals, foreigners, came work tourists. We permanent issue, could buy tickets, staying long queue, Inspector said werent able get inside full. That means, theyre selling 100 tickets more, 43-47 seats only. That means, ticket valid another time, youll see 100 people there. In light above, Id recommend company dont sell tickets dont sets add additional , since tickets sold number people. Very disappointing.",2022-08-19
"50 minutes late I missed 50 minutes late I missed connection. Toilet letterkenny station one worst I've in, absolutely stinking. Staff seemed largely disinterested helping drivers surly.",2022-11-14
always great service good drivers onalways great service good drivers 167 ardee dundalk 174 louth hospital great serv,2023-12-01
"Dont trust timetables I dont think Ive ever gotten company late, youre looking get somewhere time youre better walking taking companies form transport, If put complaint make likely blame traffic Matthews usually always Time regardless. guess cheap fares comes crappy serv",2023-02-15
Wexford far 45minutes Wexford far 45minutes late. Noone came notify us it. And says still wait. I use rarely always issue. 10-15 mins late grand. But every time late ridiculous.,2023-10-20
I get 226 work airport I get 226 work airport business park skips business park every day I'd waiting hour sometimes longer longest 2 hours supposedly every half hou,2023-09-05
"By far worst service date By far worst service date. Always late, always unreliable always impossible get contact with. Booked airport 3:10 came 5:00! Numerous people would missed flights, plus wait hours outside cold sign + give go home. Theres traffic 3am morning, unsure drivers turn hours late care world.",2022-08-22
"Useless pointless Never shows time, become less frequent recent years, drivers dont care. The live information always wrong, impossible rely on. Its like years, unfortantly I dont think ever improve.",2022-08-21
"Unreliable, inconsiderate, petulant ineffective. Started new job two months ago. Finish 23:00, get Eyre Square Galway 23:05. Buses always late, even arrive passengers. Was grand first six weeks almost everyday late, driving slowly considering behind schedule. Very inconsiderate drivers get petulant raise concerns. get 1 star I went trouble making formal complaint, assured would monitor situation make amends. They nothing. I could accept bad drivers, must tough keep strict control routes. What I can't believe drivers cheek keep it. Whoever charge let authority slip away. Deserves 1.5 overall rating.",2023-01-13
"Gotta worst flipping company Gotta worst flipping company ever. An absolute disgrace Irish transport system. Money grabbing thieves, buses always late. Disgraceful",2023-05-24
I recommend I recommend it. I bought son ticket 10 journeys. The ticket system son pays subsequent tickets leap card. So took 68 euros coffee?. They respond emails claims. Never ag,2023-09-25
103 route absolute disgrace at103 route absolute disgrace moment. I would give minus stars I could!! Not sure schedule use it. Buses come go please... today another fine example this.4.58pm left Beresford Place 4.48pm ( It drove I walking towards it) 5.18pm never showed up! Shocking service!,2023-08-01
"Never time The literally NEVER time, waited 2 hours never arrived. Expensive tickets, trash inside vehicle, mention wait never know much take. Awful",2022-10-30
"Have one leap card tried pay Have one leap card tried pay trip wife, possible. Can't pay second person card antiquated system. Passenger behind us queue kind enough pay second fair us. Get date antiquated shower useless f****ks",2023-04-15
"The 115 appalling service The 115 always bad, never appalling semester. You simply rely it. I've completely switched train, town back. Friday, 20th September, I relying 115 get home college work. It absolutely lashing quays. Loads us waiting. The 2.00pm , 2.30pm , never showed up. The 3.00pm arrived 3.20pm. I lost hours pay work. I sick lashed hour 20 mins. That day I decided I never, EVER rely service ever I somewhere time. Every I try give chance, either half hour late, full ghost . It never fails disappoint ever. Also word advice, stop dispatching single decker scheduled time 9.30am kilcock Square. It full every. Single. Time. The passengers ALWAYS wait ages next one. That's consistent thing , consistently terrible exact reason, time, every single morning. In short, get train. Its amazing. If tempted get 115, save misery, don't.",2023-11-16
ireann really wanna sort ireann really wanna sort start job right! Getting beyond joke stage. certain times driver cant even show up. Leaving people waiting around. Especially elderly. Hiring staff cant even speak passengers nice mannerly way!! Youve app set doesnt give people proper time. How meant trust service. Seriously on. Done reporting back get always!!,2022-08-29
Ive traveled alot around world rarely come across work force ignorant un professional. The way seen heard way speak passangers pathetic. Gobus citylink want travel with.,2023-06-12
One star would-be improvement One star would-be improvement service.stranded yet 11:43 Virginia Cavan show May 19th 2023.,2023-05-19
"Use West Cork Connect Incredibly unreliable. Erratic times, differ website signs stops. Bought ticket online never showed, despite arriving stop early. Waste time money",2022-08-23
"bad Companybad Company. weird pricing. ticket Kilmacthomas Dungarvan Dungarvan Cork costs 5 7 euros, total 12 euros. direct ticket Cork Kilmacthomas costs 15 euros. Why increase price distance?",2022-08-29
